DEL.;COMPETICIÓN;CATEGORÍA;FASE;GRUPO;JORNADA;CLUB L.;EQ. LOCAL;PTS. L.;CLUB V.;EQ. VISITANTE;PTS. V.;FECHA;HORA;ESTADO;INFORME;CAMPO;DIRECCIÓN;POBLACIÓN;AFORO;VESTUARIOS;IDENTIFICADOR;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Masc BRONCE;PRIMERA FASE;GRUPO 1;2;ARAVACA BASKET C.D.E.;ARAVACA BASKET C.D.E.;52;VALLEKAS BASKET CDE;VALLEKAS BASKET;37;02/11/2025;18:00;Terminado;NO;MONTE TABOR, COLEGIO;PASEO CASA DE CAMPO, 2;Pozuelo de Alarcón;50;SÍ;343077;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Fem PLATA;PRIMERA FASE;GRUPO 3;2;VALLEKAS BASKET CDE;VALLEKAS BASKET;34;ARCANGEL RAFAEL;ARCANGEL RAFAEL;59;02/11/2025;18:30;Terminado;NO;ENTREVIAS, PDVO. MPAL.;RONDA DEL SUR esquina STA. RAFAELA MARIA DEL ;Madrid;0;NO;344429;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 3ª DIVISION;GRUPO 3;5;PERALES DEL RIO C.B.;C.B. PERALES A;73;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;68;08/11/2025;09:15;Terminado;NO;PERALES DEL RIO, PABELLON DEPORTIVO;GROENLANDIA, 8;Perales del Rio;0;NO;319253;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 3;5;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;64;SPORT RAICES MOSTOLES;OPTICLASS RAÍCES MÓSTOLES "B";39;08/11/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;319940;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 1;7;ESTUDIANTES;MOVISTAR ESTUDIANTES "D";64;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;37;08/11/2025;14:45;Terminado;NO;MOVISTAR ACADEMY MAGARIÑOS, Pista 1;C/ SERRANO, 129;Madrid;0;NO;314328;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;7;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;71;UNION BALONCESTO VILLALBA CDE;VILLALBA FOTOQUO;43;09/11/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;313471;
FBM;COMPETICIONES FEDERADAS FBM;Sub 22 Masc. PLATA;PRIMERA FASE;GRUPO 3;4;BALONCESTO ARGANDA;CB ARGANDA;60;VALLEKAS BASKET CDE;VALLEKAS BASKET;61;09/11/2025;11:30;Terminado;NO;VIRGEN DEL CARMEN, PABELLON (PISTA CENTRAL);MALLORCA, S/N;Arganda del Rey;0;NO;325559;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 3ª DIVISION;GRUPO 3;6;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;103;LICEO FRANCES;LICEO FRANCES 2011;13;09/11/2025;14:00;Terminado;NO;WILFRED AGBONAVBARE, PABELLON;C/ REGUERA DE TOMATEROS, 39;Madrid;0;NO;319258;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Masc BRONCE;PRIMERA FASE;GRUPO 1;3;VALLEKAS BASKET CDE;VALLEKAS BASKET;62;BALONCESTO FUTURAS;BALONCESTO FUTURAS;70;09/11/2025;16:00;Terminado;SÍ;ENTREVIAS, PDVO. MPAL.;RONDA DEL SUR esquina STA. RAFAELA MARIA DEL ;Madrid;0;NO;343084;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Fem PLATA;PRIMERA FASE;GRUPO 3;3;CABRINI C.D. A.P.A.;CABRINI A.P.A.;60;VALLEKAS BASKET CDE;VALLEKAS BASKET;36;09/11/2025;18:00;Terminado;NO;CABRINI, COLEGIO (Semicubierto);STA. FRANCISCA JAVIER CABRINI esquina C/ Sicélidas;Madrid;0;NO;344433;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 3;6;ALAMEDA DE OSUNA BALONCESTO C.D.E.;ALAMEDA DE OSUNA NEGRO;55;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;87;15/11/2025;16:30;Terminado;NO;VILLA DE MADRID, PABELLON;CALLE BREZOS, 4;Madrid;0;NO;319946;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 1;8;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;66;JUAN DE AUSTRIA ALCALA C.B.;RICOPIA FUNBAL ALCALA CBJA;76;16/11/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;314335;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Fem PLATA;PRIMERA FASE;GRUPO 3;4;VALLEKAS BASKET CDE;VALLEKAS BASKET;47;PILARISTAS;PILARISTAS;45;16/11/2025;16:00;Terminado;SÍ;ENTREVIAS, PDVO. MPAL.;RONDA DEL SUR esquina STA. RAFAELA MARIA DEL ;Madrid;0;NO;344440;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;8;BALONCESTO ARGANZUELA CENTRO C.D.E.;ARGANZUELA CENTRO;73;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;66;16/11/2025;17:00;Terminado;NO;ARGANZUELA, CENTRO INTEGRADO;C/ PALOS DE LA FRONTERA, 40;Madrid;0;NO;313477;
FBM;COMPETICIONES FEDERADAS FBM;Sub 22 Masc. PLATA;PRIMERA FASE;GRUPO 3;5;VALLEKAS BASKET CDE;VALLEKAS BASKET;46;BALONCESTO COSLADA;COSLADA C.B. SERRACINES;57;16/11/2025;17:00;Terminado;NO;WILFRED AGBONAVBARE, PABELLON;C/ REGUERA DE TOMATEROS, 39;Madrid;0;NO;325565;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Masc BRONCE;PRIMERA FASE;GRUPO 1;4;BASKET VALDEIGLESIAS;BASKET VALDEIGLESIAS;38;VALLEKAS BASKET CDE;VALLEKAS BASKET;43;16/11/2025;18:00;Terminado;SÍ;SAN MARTIN VALDEIGLESIAS, PABELLON;SALAMANCA, 17;San Martín de Valdeiglesias;0;NO;343090;
